timestamp_utc,pv_kw,load_kw,planned_grid_import_kw,planned_battery_charge_kw,planned_battery_discharge_kw,planned_battery_action_kw,planned_pv_curtailment_kw,planned_soc_kwh,planned_soc_next_kwh
2024-01-01 00:15:00+00:00,0.000,4.050,0.000,0.000,4.050,-4.050,0.000,25.000,23.945
2024-01-01 00:30:00+00:00,0.000,3.770,0.000,0.000,3.770,-3.770,0.000,23.945,22.964
2024-01-01 00:45:00+00:00,0.000,3.110,0.000,0.000,3.110,-3.110,0.000,22.964,22.154
2024-01-01 01:00:00+00:00,0.000,1.990,0.000,0.000,1.990,-1.990,0.000,22.154,21.635
2024-01-01 01:15:00+00:00,0.000,1.690,0.000,0.000,1.690,-1.690,0.000,21.635,21.195
2024-01-01 01:30:00+00:00,0.000,1.565,0.000,0.000,1.565,-1.565,0.000,21.195,20.788
2024-01-01 01:45:00+00:00,0.000,1.710,0.000,0.000,1.710,-1.710,0.000,20.788,20.342
2024-01-01 02:00:00+00:00,0.000,1.510,0.000,0.000,1.510,-1.510,0.000,20.342,19.949
2024-01-01 02:15:00+00:00,0.000,1.750,0.000,0.000,1.750,-1.750,0.000,19.949,19.493
2024-01-01 02:30:00+00:00,0.000,1.670,0.000,0.000,1.670,-1.670,0.000,19.493,19.059
2024-01-01 02:45:00+00:00,0.000,1.855,0.000,0.000,1.855,-1.855,0.000,19.059,18.576
2024-01-01 03:00:00+00:00,0.000,1.570,0.000,0.000,1.570,-1.570,0.000,18.576,18.167
2024-01-01 03:15:00+00:00,0.000,1.940,0.000,0.000,1.940,-1.940,0.000,18.167,17.661
2024-01-01 03:30:00+00:00,0.000,3.600,0.000,0.000,3.600,-3.600,0.000,17.661,16.724
2024-01-01 03:45:00+00:00,0.000,2.935,0.000,0.000,2.935,-2.935,0.000,16.724,15.960
2024-01-01 04:00:00+00:00,0.000,1.705,0.000,0.000,1.705,-1.705,0.000,15.960,15.516
2024-01-01 04:15:00+00:00,0.000,1.125,0.000,0.000,1.125,-1.125,0.000,15.516,15.223
2024-01-01 04:30:00+00:00,0.000,1.125,0.000,0.000,1.125,-1.125,0.000,15.223,14.930
2024-01-01 04:45:00+00:00,0.000,1.165,0.000,0.000,1.165,-1.165,0.000,14.930,14.626
2024-01-01 05:00:00+00:00,0.000,1.225,0.000,0.000,1.225,-1.225,0.000,14.626,14.307
2024-01-01 05:15:00+00:00,0.000,1.565,0.000,0.000,1.565,-1.565,0.000,14.307,13.900
2024-01-01 05:30:00+00:00,0.000,1.860,0.000,0.000,1.860,-1.860,0.000,13.900,13.415
2024-01-01 05:45:00+00:00,0.000,1.765,0.000,0.000,1.765,-1.765,0.000,13.415,12.956
2024-01-01 06:00:00+00:00,0.000,1.565,0.000,0.000,1.565,-1.565,0.000,12.956,12.548
2024-01-01 06:15:00+00:00,0.000,1.225,0.000,0.000,1.225,-1.225,0.000,12.548,12.229
2024-01-01 06:30:00+00:00,0.000,3.580,0.000,0.000,3.580,-3.580,0.000,12.229,11.297
2024-01-01 06:45:00+00:00,0.000,4.130,0.000,0.000,4.130,-4.130,0.000,11.297,10.221
2024-01-01 07:00:00+00:00,0.000,3.815,0.000,0.000,3.815,-3.815,0.000,10.221,9.228
2024-01-01 07:15:00+00:00,0.000,3.710,0.000,0.000,3.710,-3.710,0.000,9.228,8.262
2024-01-01 07:30:00+00:00,0.179,4.700,0.000,0.000,4.521,-4.521,0.000,8.262,7.084
2024-01-01 07:45:00+00:00,3.267,3.785,0.000,0.000,0.518,-0.518,0.000,7.084,6.950
2024-01-01 08:00:00+00:00,6.727,3.800,0.000,0.000,0.000,0.000,2.927,6.950,6.950
2024-01-01 08:15:00+00:00,9.478,4.010,0.000,0.000,0.000,0.000,5.468,6.950,6.950
2024-01-01 08:30:00+00:00,11.347,4.070,0.000,0.000,0.000,0.000,7.277,6.950,6.950
2024-01-01 08:45:00+00:00,13.871,3.670,0.000,0.000,0.000,0.000,10.201,6.950,6.950
2024-01-01 09:00:00+00:00,15.692,3.730,0.000,0.000,0.000,0.000,11.962,6.950,6.950
2024-01-01 09:15:00+00:00,17.992,5.125,0.000,0.000,0.000,0.000,12.867,6.950,6.950
2024-01-01 09:30:00+00:00,10.672,5.485,0.000,0.000,0.000,0.000,5.187,6.950,6.950
2024-01-01 09:45:00+00:00,3.241,5.345,0.000,0.000,2.104,-2.104,0.000,6.950,6.402
2024-01-01 10:00:00+00:00,4.138,4.965,0.000,0.000,0.827,-0.827,0.000,6.402,6.186
2024-01-01 10:15:00+00:00,6.113,5.005,0.000,0.000,0.000,0.000,1.108,6.186,6.186
2024-01-01 10:30:00+00:00,18.034,4.870,0.000,0.000,0.000,0.000,13.164,6.186,6.186
2024-01-01 10:45:00+00:00,25.840,4.815,0.000,0.000,0.000,0.000,21.025,6.186,6.186
2024-01-01 11:00:00+00:00,26.209,4.705,0.000,5.673,0.000,5.673,15.831,6.186,7.548
2024-01-01 11:15:00+00:00,26.996,4.915,0.000,0.000,0.000,0.000,22.081,7.548,7.548
2024-01-01 11:30:00+00:00,25.993,5.055,0.000,20.938,0.000,20.938,0.000,7.548,12.573
2024-01-01 11:45:00+00:00,27.722,4.575,0.000,23.147,0.000,23.147,0.000,12.573,18.128
2024-01-01 12:00:00+00:00,24.296,4.640,0.000,19.656,0.000,19.656,0.000,18.128,22.846
2024-01-01 12:15:00+00:00,19.034,5.415,0.000,13.619,0.000,13.619,0.000,22.846,26.114
2024-01-01 12:30:00+00:00,21.231,4.900,0.000,16.331,0.000,16.331,0.000,26.114,30.034
2024-01-01 12:45:00+00:00,15.928,4.940,0.000,10.988,0.000,10.988,0.000,30.034,32.671
2024-01-01 13:00:00+00:00,11.999,4.555,0.000,7.444,0.000,7.444,0.000,32.671,34.457
2024-01-01 13:15:00+00:00,22.542,4.590,0.000,17.952,0.000,17.952,0.000,34.457,38.766
2024-01-01 13:30:00+00:00,22.314,4.605,0.000,17.709,0.000,17.709,0.000,38.766,43.016
2024-01-01 13:45:00+00:00,16.099,5.030,0.000,11.069,0.000,11.069,0.000,43.016,45.673
2024-01-01 14:00:00+00:00,7.839,5.130,0.000,2.709,0.000,2.709,0.000,45.673,46.323
2024-01-01 14:15:00+00:00,7.201,5.230,0.000,1.971,0.000,1.971,0.000,46.323,46.796
2024-01-01 14:30:00+00:00,8.157,5.415,0.000,2.742,0.000,2.742,0.000,46.796,47.454
2024-01-01 14:45:00+00:00,5.461,5.270,0.000,0.191,0.000,0.191,0.000,47.454,47.500
2024-01-01 15:00:00+00:00,2.634,5.205,0.400,0.000,2.171,-2.171,0.000,47.500,46.935
2024-01-01 15:15:00+00:00,0.711,5.240,0.400,0.000,4.129,-4.129,0.000,46.935,45.859
2024-01-01 15:30:00+00:00,0.089,5.390,0.400,0.000,4.901,-4.901,0.000,45.859,44.583
2024-01-01 15:45:00+00:00,0.000,5.260,0.400,0.000,4.860,-4.860,0.000,44.583,43.317
2024-01-01 16:00:00+00:00,0.000,5.215,0.400,0.000,4.815,-4.815,0.000,43.317,42.064
2024-01-01 16:15:00+00:00,0.000,5.070,0.400,0.000,4.670,-4.670,0.000,42.064,40.847
2024-01-01 16:30:00+00:00,0.000,5.770,0.400,0.000,5.370,-5.370,0.000,40.847,39.449
2024-01-01 16:45:00+00:00,0.000,5.960,0.400,0.000,5.560,-5.560,0.000,39.449,38.001
2024-01-01 17:00:00+00:00,0.000,5.155,0.400,0.000,4.755,-4.755,0.000,38.001,36.763
2024-01-01 17:15:00+00:00,0.000,5.850,0.400,0.000,5.450,-5.450,0.000,36.763,35.343
2024-01-01 17:30:00+00:00,0.000,5.150,0.400,0.000,4.750,-4.750,0.000,35.343,34.106
2024-01-01 17:45:00+00:00,0.000,5.050,0.400,0.000,4.650,-4.650,0.000,34.106,32.895
